well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class,od_600nm_subtracted
C3,0.087,GC032,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆mal,Single KO,0.007888888888888876
C4,0.086,GC049,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆pot,Single KO,0.006888888888888875
C5,0.085,GC052,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆nmp,Single KO,0.005888888888888888
C6,0.082,GC047,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆his,Single KO,0.0028888888888888853
C7,0.082,GC050,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆rbs,Single KO,0.0028888888888888853
C8,0.084,GC048,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆dpp,Single KO,0.004888888888888887
C9,0.082,GC053,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆opp,Single KO,0.0028888888888888853
C10,0.086,GC055,1,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆mgl,Single KO,0.006888888888888875
D3,0.086,GC032,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆mal,Single KO,0.006888888888888875
D4,0.083,GC049,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆pot,Single KO,0.003888888888888886
D5,0.082,GC052,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆nmp,Single KO,0.0028888888888888853
D6,0.081,GC047,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆his,Single KO,0.0018888888888888844
D7,0.082,GC050,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆rbs,Single KO,0.0028888888888888853
D8,0.082,GC048,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆dpp,Single KO,0.0028888888888888853
D9,0.08,GC053,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆opp,Single KO,0.0008888888888888835
D10,0.086,GC055,2,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆mgl,Single KO,0.006888888888888875
E3,0.085,GC032,3,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆mal,Single KO,0.005888888888888888
E4,0.083,GC049,3,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆pot,Single KO,0.003888888888888886
E5,0.082,GC052,3,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆nmp,Single KO,0.0028888888888888853
E6,0.082,GC047,3,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆his,Single KO,0.0028888888888888853
E7,0.082,GC050,3,glucose-acetate,2021-09-10,1,0.0,0.07911111111111112,∆rbs,Single KO,0.0028888888888888853
