well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class,od_600nm_subtracted
C3,0.084,GC032,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mal,Single KO,0.004851851851851857
C4,0.084,GC049,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆pot,Single KO,0.004851851851851857
C5,0.084,GC052,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆nmp,Single KO,0.004851851851851857
C6,0.085,GC047,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆his,Single KO,0.005851851851851858
C7,0.088,GC050,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆rbs,Single KO,0.008851851851851847
C8,0.08,GC048,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆dpp,Single KO,0.0008518518518518536
C9,0.086,GC053,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆opp,Single KO,0.006851851851851845
C10,0.089,GC055,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mgl,Single KO,0.009851851851851848
D3,0.084,GC032,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mal,Single KO,0.004851851851851857
D4,0.082,GC049,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆pot,Single KO,0.0028518518518518554
D5,0.082,GC052,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆nmp,Single KO,0.0028518518518518554
D6,0.088,GC047,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆his,Single KO,0.008851851851851847
D7,0.089,GC050,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆rbs,Single KO,0.009851851851851848
D8,0.081,GC048,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆dpp,Single KO,0.0018518518518518545
D9,0.085,GC053,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆opp,Single KO,0.005851851851851858
D10,0.088,GC055,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mgl,Single KO,0.008851851851851847
E3,0.082,GC032,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mal,Single KO,0.0028518518518518554
E4,0.083,GC049,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆pot,Single KO,0.0038518518518518563
E5,0.082,GC052,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆nmp,Single KO,0.0028518518518518554
E6,0.086,GC047,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆his,Single KO,0.006851851851851845
E7,0.088,GC050,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆rbs,Single KO,0.008851851851851847
E8,0.081,GC048,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆dpp,Single KO,0.0018518518518518545
E9,0.087,GC053,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆opp,Single KO,0.007851851851851846
E10,0.089,GC055,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆mgl,Single KO,0.009851851851851848
F3,0.091,GC030,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆glt,Single KO,0.01185185185185185
F4,0.092,GC030,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆glt,Single KO,0.01285185185185185
F5,0.09,GC030,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆glt,Single KO,0.010851851851851849
F6,0.085,GC029,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆flh,Single KO,0.005851851851851858
F7,0.084,GC029,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆flh,Single KO,0.004851851851851857
F8,0.083,GC029,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,∆flh,Single KO,0.0038518518518518563
F9,0.088,GC001,1,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,WT,WT,0.008851851851851847
F10,0.09,GC001,2,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,WT,WT,0.010851851851851849
F11,0.093,GC001,3,glucose-acetate,2021-09-09,1,0.0,0.07914814814814815,WT,WT,0.013851851851851851
C3,0.085,GC032,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mal,Single KO,0.005629629629629637
C4,0.085,GC049,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆pot,Single KO,0.005629629629629637
C5,0.084,GC052,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆nmp,Single KO,0.004629629629629636
C6,0.086,GC047,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆his,Single KO,0.006629629629629624
C7,0.089,GC050,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆rbs,Single KO,0.009629629629629627
C8,0.08,GC048,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆dpp,Single KO,0.0006296296296296328
C9,0.087,GC053,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆opp,Single KO,0.007629629629629625
C10,0.1,GC055,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mgl,Single KO,0.020629629629629637
D3,0.084,GC032,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mal,Single KO,0.004629629629629636
D4,0.082,GC049,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆pot,Single KO,0.0026296296296296345
D5,0.083,GC052,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆nmp,Single KO,0.0036296296296296354
D6,0.088,GC047,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆his,Single KO,0.008629629629629626
D7,0.09,GC050,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆rbs,Single KO,0.010629629629629628
D8,0.081,GC048,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆dpp,Single KO,0.0016296296296296336
D9,0.085,GC053,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆opp,Single KO,0.005629629629629637
D10,0.089,GC055,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mgl,Single KO,0.009629629629629627
E3,0.083,GC032,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mal,Single KO,0.0036296296296296354
E4,0.083,GC049,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆pot,Single KO,0.0036296296296296354
E5,0.083,GC052,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆nmp,Single KO,0.0036296296296296354
E6,0.086,GC047,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆his,Single KO,0.006629629629629624
E7,0.088,GC050,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆rbs,Single KO,0.008629629629629626
E8,0.081,GC048,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆dpp,Single KO,0.0016296296296296336
E9,0.088,GC053,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆opp,Single KO,0.008629629629629626
E10,0.09,GC055,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆mgl,Single KO,0.010629629629629628
F3,0.092,GC030,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆glt,Single KO,0.01262962962962963
F4,0.093,GC030,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆glt,Single KO,0.01362962962962963
F5,0.092,GC030,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆glt,Single KO,0.01262962962962963
F6,0.085,GC029,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆flh,Single KO,0.005629629629629637
F7,0.084,GC029,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆flh,Single KO,0.004629629629629636
F8,0.084,GC029,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,∆flh,Single KO,0.004629629629629636
F9,0.09,GC001,1,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,WT,WT,0.010629629629629628
F10,0.09,GC001,2,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,WT,WT,0.010629629629629628
F11,0.092,GC001,3,glucose-acetate,2021-09-09,1,0.12555555555555556,0.07937037037037037,WT,WT,0.01262962962962963
C3,0.085,GC032,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆mal,Single KO,0.005666666666666681
C4,0.085,GC049,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆pot,Single KO,0.005666666666666681
C5,0.085,GC052,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆nmp,Single KO,0.005666666666666681
C6,0.087,GC047,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆his,Single KO,0.007666666666666669
C7,0.09,GC050,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆rbs,Single KO,0.010666666666666672
C8,0.081,GC048,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆dpp,Single KO,0.0016666666666666774
C9,0.087,GC053,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆opp,Single KO,0.007666666666666669
C10,0.09,GC055,1,glucose-acetate,2021-09-09,1,0.2511111111111111,0.07933333333333333,∆mgl,Single KO,0.010666666666666672
