,sample,phiRb,phiO,phiMb
0,5,0.013865832810589772,0.55,0.4361341671894102
0,15,0.012007211954326984,0.55,0.437992788045673
0,60,0.02333589825549218,0.55,0.42666410174450775
0,120,0.08851964529225957,0.55,0.3614803547077404
0,postshift,0.09247489415941233,0.55,0.3575251058405876
0,preshift,0.1876883514362531,0.55,0.2623116485637469
