gene_name,sample,counts,fraction
arsB,5,33,7.291526958432331e-06
arsC,5,62,1.3699232467357712e-05
arsR,5,16,3.5352857980277964e-06
artI,5,282,6.230941219023991e-05
artJ,5,31,6.849616233678856e-06
artM,5,137,3.027088464561301e-05
artP,5,417,9.213838611109945e-05
artQ,5,54,1.1931589568343813e-05
ascB,5,182,4.021387595256619e-05
ascF,5,126,2.78403756594689e-05
ascG,5,240,5.302928697041695e-05
asd,5,2465,0.0005446549682586574
aslA,5,87,1.9223116526776145e-05
aslB,5,45,9.942991306953178e-06
asmA,5,1394,0.00030801177515317176
asnA,5,80,1.7676428990138983e-05
asnB,5,683,0.00015091251250331158
asnC,5,35,7.733437683185805e-06
asnS,5,928,0.0002050465762856122
aspA,5,7629,0.0016856684595721288
aspC,5,1787,0.00039484723256722956
aspS,5,1754,0.0003875557056087972
asr,5,32,7.070571596055593e-06
astA,5,1981,0.00043771257286831657
astB,5,1195,0.00026404165804020107
astC,5,4475,0.0009887752466358993
astD,5,1667,0.0003683325890820211
astE,5,862,0.00019046352236874755
atl,5,203,4.485393856247767e-05
atoA,5,5,1.1047768118836864e-06
atoB,5,30,6.628660871302119e-06
atoC,5,289,6.385609972687707e-05
atoD,5,4,8.838214495069491e-07
atoE,5,8,1.7676428990138982e-06
atoS,5,269,5.943699247934233e-05
atpA,5,1767,0.0003904281253196948
atpB,5,1954,0.00043174677808414464
atpC,5,1148,0.0002536567560084944
atpD,5,1079,0.00023841083600449953
atpE,5,1680,0.00037120500879291864
atpF,5,1440,0.0003181757218225017
atpG,5,524,0.00011578060988541034
atpH,5,517,0.00011423392234877318
atpI,5,776,0.00017146136120434815
avtA,5,625,0.0001380971014854608
azoR,5,437,9.65574933586342e-05
azuC,5,16,3.5352857980277964e-06
bacA,5,218,4.816826899812873e-05
baeR,5,132,2.9166107833729323e-05
baeS,5,40,8.838214495069492e-06
bamA,5,2397,0.0005296300036170393
bamB,5,823,0.0001818462632360548
bamC,5,1226,0.0002708912742738799
bamD,5,981,0.00021675721049157928
bamE,5,2680,0.000592160371169656
barA,5,156,3.4469036530771014e-05
basR,5,439,9.699940408338767e-05
basS,5,267,5.899508175458886e-05
bax,5,4920,0.0010871003828935475
bcp,5,648,0.00014317907482012577
bcr,5,103,2.275840232480394e-05
bcsA,5,189,4.176056348920335e-05
bcsB,5,250,5.523884059418432e-05
bcsC,5,909,0.0002008484244004542
bcsE,5,970,0.00021432670150543518
bcsF,5,28,6.186750146548644e-06
bcsG,5,174,3.844623305355229e-05
bcsQ,5,291,6.429801045163055e-05
bcsZ,5,76,1.6792607540632035e-05
bdcA,5,29,6.4077055089253815e-06
bdcR,5,108,2.3863179136687626e-05
bdm,5,74,1.635069681587856e-05
bepA,5,613,0.00013544563713693996
betA,5,171,3.7783366966422074e-05
betB,5,317,7.004284987342572e-05
betI,5,289,6.385609972687707e-05
betT,5,319,7.048476059817919e-05
bfd,5,66,1.4583053916864662e-05
bfr,5,5167,0.0011416763574006016
bglA,5,762,0.00016836798613107382
bglB,5,20,4.419107247534746e-06
bglF,5,13,2.8724197108975847e-06
bglG,5,17,3.756241160404534e-06
bglH,5,36,7.954393045562543e-06
bglJ,5,25,5.523884059418432e-06
bglX,5,684,0.0001511334678656883
bhsA,5,19,4.198151885158009e-06
bioA,5,73,1.612974145350182e-05
bioB,5,271,5.98789032040958e-05
bioC,5,38,8.396303770316017e-06
bioD,5,25,5.523884059418432e-06
bioF,5,102,2.2537446962427205e-05
bioH,5,153,3.3806170443640804e-05
bipA,5,1228,0.0002713331849986334
birA,5,312,6.893807306154203e-05
bisC,5,815,0.0001800786203370409
blc,5,936,0.0002068142191846261
blr,5,106,2.3421268411934153e-05
bluF,5,113,2.4967955948571312e-05
bluR,5,628,0.00013875996757259102
bolA,5,11268,0.0024897250232610757
borD,5,141,3.1154706095119955e-05
brnQ,5,225,4.971495653476589e-05
bsmA,5,2045,0.00045185371606042775
bssR,5,2805,0.0006197797914667481
bssS,5,4690,0.001036280649546898
btuB,5,302,6.672851943777466e-05
btuC,5,125,2.761942029709216e-05
btuD,5,256,5.656457276844474e-05
btuE,5,272,6.0099858566472544e-05
btuF,5,24,5.302928697041695e-06
btuR,5,543,0.00011997876177056835
cadA,5,36,7.954393045562543e-06
cadB,5,5,1.1047768118836864e-06
cadC,5,41,9.05916985744623e-06
caiA,5,72,1.5908786091125086e-05
caiB,5,28,6.186750146548644e-06
caiC,5,79,1.7455473627762245e-05
caiD,5,22,4.86101797228822e-06
caiE,5,37,8.17534840793928e-06
caiF,5,90,1.9885982613906356e-05
caiT,5,4,8.838214495069491e-07
can,5,1138,0.00025144720238472705
carA,5,20,4.419107247534746e-06
carB,5,111,2.452604522381784e-05
cas1,5,279,6.16465461031097e-05
cas2,5,107,2.364222377431089e-05
cas3,5,122,2.695655420996195e-05
casA,5,65,1.4362098554487924e-05
casB,5,52,1.1489678843590339e-05
casC,5,71,1.5687830728748348e-05
casD,5,59,1.30363663802275e-05
casE,5,218,4.816826899812873e-05
cbeA,5,1,2.2095536237673728e-07
cbl,5,82,1.811833971489246e-05
cbpA,5,825,0.00018228817396080826
cbpM,5,263,5.8111260305081905e-05
cbrA,5,17,3.756241160404534e-06
cbrB,5,28,6.186750146548644e-06
cbrC,5,75,1.6571652178255297e-05
cbtA,5,2,4.4191072475347456e-07
cca,5,825,0.00018228817396080826
ccmA,5,144,3.181757218225017e-05
ccmB,5,10,2.209553623767373e-06
ccmC,5,7,1.546687536637161e-06
ccmD,5,1,2.2095536237673728e-07
ccmE,5,12,2.6514643485208475e-06
ccmF,5,46,1.0163946669329916e-05
ccmG,5,20,4.419107247534746e-06
ccmH,5,65,1.4362098554487924e-05
cdaR,5,675,0.00014914486960429768
cdd,5,945,0.00020880281744601673
cdgI,5,100,2.209553623767373e-05
cdh,5,71,1.5687830728748348e-05
cdsA,5,446,9.854609162002483e-05
cedA,5,31,6.849616233678856e-06
cfa,5,4586,0.0010133012918597173
chaA,5,325,7.181049277243963e-05
chaB,5,280,6.186750146548644e-05
chaC,5,764,0.00016880989685582728
chbA,5,101,2.2316491600050467e-05
chbB,5,265,5.855317102983538e-05
chbC,5,95,2.0990759425790042e-05
chbF,5,85,1.878120580202267e-05
chbG,5,166,3.667859015453839e-05
chbR,5,80,1.7676428990138983e-05
cheA,5,7749,0.0017121831030573373
cheB,5,3882,0.0008577487167464942
cheR,5,3688,0.0008148833764454072
cheW,5,4346,0.0009602720048893003
cheY,5,3654,0.0008073708941245981
cheZ,5,4413,0.0009750760141685416
chiA,5,263,5.8111260305081905e-05
chiP,5,188,4.153960812682661e-05
cho,5,31,6.849616233678856e-06
chpB,5,350,7.733437683185805e-05
chpS,5,358,7.910201973087195e-05
cirA,5,173,3.822527769117555e-05
citC,5,0,0.0
citD,5,1,2.2095536237673728e-07
citE,5,0,0.0
citF,5,0,0.0
citG,5,4,8.838214495069491e-07
citT,5,31,6.849616233678856e-06
citX,5,6,1.3257321742604238e-06
clcA,5,629,0.00013898092293496776
clcB,5,22,4.86101797228822e-06
clpA,5,51893,0.011466036619816029
clpB,5,14611,0.0032283787996865085
clpP,5,1422,0.0003141985252997204
clpS,5,5167,0.0011416763574006016
clpX,5,4538,0.0010026954344656339
clsA,5,1241,0.00027420560470953095
clsB,5,384,8.484685915266712e-05
clsC,5,155,3.424808116839428e-05
cmk,5,786,0.0001736709148281155
cmoA,5,122,2.695655420996195e-05
cmoB,5,131,2.8945152471352585e-05
cmoM,5,355,7.843915364374174e-05
cmtA,5,24,5.302928697041695e-06
cmtB,5,11,2.43050898614411e-06
cnu,5,30,6.628660871302119e-06
coaA,5,352,7.777628755661152e-05
coaD,5,132,2.9166107833729323e-05
coaE,5,356,7.866010900611847e-05
cobB,5,464,0.0001025232881428061
cobC,5,31,6.849616233678856e-06
cobS,5,420,9.280125219822966e-05
cobT,5,567,0.00012528169046761004
cobU,5,355,7.843915364374174e-05
codA,5,126,2.78403756594689e-05
codB,5,19,4.198151885158009e-06
cof,5,183,4.043483131494292e-05
comR,5,404,8.926596640020187e-05
copA,5,1928,0.00042600193866234947
corA,5,1246,0.0002753103815214147
cpdA,5,1248,0.0002757522922461681
cpdB,5,1387,0.0003064650876165346
cpoB,5,355,7.843915364374174e-05
cpsB,5,0,0.0
cpsG,5,0,0.0
cptA,5,162,3.579476870503144e-05
cpxA,5,382,8.440494842791364e-05
cpxP,5,2364,0.0005223384766586069
cpxR,5,942,0.00020813995135888653
cra,5,1435,0.000317070945010618
crcB,5,237,5.236642088328674e-05
creA,5,164,3.623667942978492e-05
creB,5,218,4.816826899812873e-05
creC,5,160,3.5352857980277966e-05
creD,5,134,2.9608018558482796e-05
crfC,5,9738,0.002151663318824668
crl,5,1683,0.00037186787488004884
crp,5,3212,0.0007097086239540802
crr,5,6722,0.0014852619458964281
csdA,5,202,4.4632983200100934e-05
csdE,5,208,4.5958715374361355e-05
csgA,5,182,4.021387595256619e-05
csgB,5,29,6.4077055089253815e-06
csgC,5,6,1.3257321742604238e-06
csgD,5,25,5.523884059418432e-06
csgE,5,5,1.1047768118836864e-06
csgF,5,1,2.2095536237673728e-07
csgG,5,30,6.628660871302119e-06
csiD,5,10705,0.0023653271542429725
csiE,5,70,1.546687536637161e-05
csiR,5,1230,0.0002717750957233869
cspA,5,603,0.0001332360835131726
cspB,5,106,2.3421268411934153e-05
cspC,5,2691,0.0005945908801558
cspD,5,29111,0.006432231554149199
cspE,5,33286,0.007354720192072077
cspF,5,1,2.2095536237673728e-07
cspG,5,64,1.4141143192111186e-05
cspH,5,2,4.4191072475347456e-07
cspI,5,14,3.093375073274322e-06
csrA,5,4734,0.0010460026854914744
csrD,5,502,0.00011091959191312211
cstA,5,35873,0.007926331714540697
cueO,5,896,0.00019797600468955662
cueR,5,348,7.689246610710458e-05
curA,5,911,0.00020129033512520766
cusA,5,95,2.0990759425790042e-05
cusB,5,160,3.5352857980277966e-05
cusC,5,2284,0.0005046620476684679
cusF,5,164,3.623667942978492e-05
cusR,5,445,9.83251362576481e-05
cusS,5,151,3.336425971888733e-05
cutA,5,64,1.4141143192111186e-05
cutC,5,611,0.00013500372641218647
cvpA,5,79,1.7455473627762245e-05
cvrA,5,183,4.043483131494292e-05
cyaA,5,1214,0.00026823980992535907
cyaY,5,170,3.756241160404534e-05
cybB,5,490,0.00010826812756460127
cycA,5,2158,0.00047682167200899906
cydA,5,2289,0.0005057668244803517
cydB,5,1827,0.00040368544706229905
cydC,5,118,2.6072732760455e-05
