,M_Mb_1,M_Mb_2,M_Rb,M_O,m_u,m_c,M,tRNA_c,tRNA_u,frequency,ribosome_content,phi_Rb,kappa,gamma,phi_Mb_1,alpha_1,nu_1,phi_Mb_2,alpha_2,nu_2,alloc_stability,tRNA_c_stability,tRNA_u_stability,time_hr,time_idx,death_rate,species_label,dilution_cycle,OD,relative_biomass,relative_time
0,40807281908656.984,240541018473.98035,10702177072869.037,63250000000000.01,33654452099.236137,8774543446.452854,115000000000000.0,7.63003777952422e-05,0.0002926474095585751,1.0,0.09306240932929598,0.09306240932929595,0.00023782615717486745,6.926585408213315,0.35485023633929635,0.9941520467836257,1.8087187274225398,0.002087354331407665,0.005847953216374324,1.3604154983309664,0.9999999999999997,0.9999607053708606,1.0000098332971166,0.0,0,0,0,1,0.001,0.0022686578775691505,-9.516666666666666
1,41248071082018.484,243133928248.38965,10817783380196.533,63933208032788.664,34017643159.07139,8869672033.316023,116242196423252.06,7.630337610810846e-05,0.0002926445318979434,1.0,0.0930624481733609,0.09306603589167277,0.0002378354250564971,6.926662222791644,0.35484657980649575,0.9941519034002662,1.8087169428838985,0.0020873843018314187,0.005848096599733843,1.3604142544937978,1.0000385517293204,1.0000016764519435,0.9999991721550966,0.016666666666666666,1,0,0,1,0.0010108017080282788,0.002293163257578707,-9.499999999999998
2,41693627264782.79,245754944935.36838,10934639795306.605,64623804672808.09,34385124952.710526,8965465830.711405,117497826677832.86,7.630324818937974e-05,0.00029264477416242817,1.0,0.09306248553250504,0.09306585102787074,0.0002378349526267808,6.926658945696049,0.3548467118547654,0.9941517584591583,1.8087169498722118,0.0020874371173638107,0.0058482415408417365,1.3604143592104285,1.0000361638241924,1.0000015842568124,0.999999225087028,0.03333333333333333,2,0,0,1,0.0010217202319811553,0.0023179336529558277,-9.483333333333333
3,42144011284487.1,248404428749.62628,11052762145152.53,65321884049142.45,34756586943.19483,9062298244.44609,118767061907531.72,7.630312730563049e-05,0.0002926450009368356,1.0,0.09306252059815928,0.09306567687739684,0.0002378345075755697,6.926655848819358,0.35484683268914585,0.9941516119402722,1.8087169465189643,0.0020874904334572397,0.0058483880597277604,1.3604144572314443,1.0000339156861138,1.0000014998830058,0.9999992745502386,0.05,3,0,0,1,0.0010327570600654932,0.0023429724399327374,-9.466666666666665
4,42599258649426.9,251082590060.95276,11172159749542.965,66027501208815.44,35132058492.19928,9160176861.549877,120050002197846.25,7.630301286003821e-05,0.0002926452132362357,1.0,0.09306255347776576,0.09306551260679434,0.0002378340877729189,6.926652916872972,0.35484694313401455,0.9941514638318169,1.8087169333967767,0.0020875442591910542,0.005848536168183149,1.3604145489956285,1.0000317972043318,1.000001437455408,0.9999993114709874,0.06666666666666667,4,0,0,1,0.0010439130625899673,0.0023682815929420673,-9.45
5,43059877004435.125,253792437305.91846,11292965815794.08,66741443092542.91,35511958715.579895,9259210673.184471,121348078350078.03,7.630290317801738e-05,0.00029264541473109415,1.0,0.0930625846683366,0.09306535567013043,0.00023783368671255554,6.9266501069571325,0.3548470456613694,0.994151313968361,1.8087169124640876,0.002087598668500168,0.005848686031639017,1.3604146360895288,1.000029775680567,1.000001405188715,0.9999993311261266,0.08333333333333333,5,0,0,1,0.0010552006813050263,0.0023938893380589825,-9.433333333333332
6,43526651399989.555,256538623026.89725,11415386338484.705,67464926664056.945,35896935725.80572,9359568242.875929,122663503025558.1,7.630279595818958e-05,0.0002926456104740972,1.0,0.0930626148521635,0.0930652025664381,0.00023783329544756408,6.926647360113986,0.35484714366042047,0.9941511620941639,1.8087168863912608,0.0020876537731413514,0.005848837905836124,1.3604147206971342,1.0000278061633956,1.0000013370966183,0.9999993711690375,0.1,6,0,0,1,0.0010666391567439833,0.0024198393254709536,-9.416666666666666
7,43998579510527.36,259315207045.9914,11539158309731.643,68196398144483.87,36286162030.82051,9461034354.595707,123993451171788.86,7.630269393411555e-05,0.0002926457944988338,1.0,0.0930626432338311,0.09306505744525381,0.00023783292458231533,6.926644746374662,0.3548472331222215,0.9941510085351075,1.8087168520468686,0.0020877094325246204,0.0058489914648924834,1.360414800239537,1.000025941788658,1.0000012707070662,0.9999994101558116,0.11666666666666667,7,0,0,1,0.0010782039232329467,0.002446075824068388,-9.399999999999999
8,44475661336048.56,262122189363.20087,11664281729534.895,68935857533823.664,36679637630.62427,9563609008.343801,125337922788770.31,7.63025969758664e-05,0.00029264596711435677,1.0,0.09306266986084087,0.0930649201029097,0.0002378325735963248,6.92664226241129,0.3548473142491575,0.994150853290927,1.8087168096082988,0.002087765647932782,0.005849146709072994,1.3604148748503395,1.0000241798572103,1.0000012059938557,0.9999994481042261,0.13333333333333333,8,0,0,1,0.0010898949807719158,0.0024725988338512844,-9.383333333333333
9,44957896876553.14,264959569978.5257,11790756597894.459,69683304832076.35,37077362525.21699,9667292204.120213,126696917876502.47,7.630250495551425e-05,0.0002926461286245184,1.0,0.09306269477989569,0.09306479033898682,0.00023783224197741076,6.9266399049472005,0.35484738724038234,0.9941506963613548,1.8087167592499445,0.0020878224206307694,0.00584930363864522,1.3604149446608937,1.0000225177134199,1.0000011429302558,0.9999994850323021,0.15,9,0,0,1,0.0011017123293608911,0.002499408354819644,-9.366666666666665
10,45445286132041.11,267827348891.9659,11918582914810.338,70438740039241.92,37479336714.59868,9772083941.924942,128070436434985.34,7.630241774717241e-05,0.00029264627932789917,1.0,0.09306271803688886,0.09306466795637193,0.0002378319292218394,6.926637670757959,0.35484745229176273,0.99415053774612,1.808716701143165,0.002087879751865307,0.0058494622538799446,1.3604150098002723,1.0000209527458923,1.0000010814890896,0.9999995209582591,0.16666666666666666,10,0,0,1,0.0011136559689998726,0.0025265043869734665,-9.35
11,45937829102512.46,270725526103.52148,12047760680282.527,71202163155320.38,37885560198.76933,9877984221.75799,129458478464218.89,7.630233522702935e-05,0.00029264641951774945,1.0,0.09306273967689506,0.09306455276130489,0.00023783163483444584,6.926635556672238,0.35484750959583056,0.9941503774449494,1.8087166354562527,0.0020879376428645235,0.005849622555050615,1.360415070395242,1.0000194823880764,1.000001021642805,0.9999995559004736,0.18333333333333332,11,0,0,1,0.0011257258996888598,0.0025538869303127513,-9.333333333333332
12,46435525787967.2,273654101613.1924,12178289894311.033,71973574180311.72,38296032977.72896,9984993043.619354,130861043964203.16,7.63022572733772e-05,0.0002926465494819435,1.0,0.09306275974416332,0.09306444456341793,0.00023783135832873475,6.9266335595725534,0.35484755934174406,0.9941502154575661,1.808716562354405,0.0020879960948379517,0.0058497845424339,1.3604151265702449,1.0000181041187608,1.0000009633635427,0.9999995898774372,0.2,12,0,0,1,0.0011379221214278534,0.0025815559848374994,-9.316666666666666
13,46938376188405.33,276613075420.9787,12310170556895.852,72752973114215.94,38710755051.47753,10093110407.509037,132278132934938.1,7.630218376663513e-05,0.00029264666950294557,1.0,0.09306277828211178,0.09306434317576658,0.00023783109922695904,6.926631676395863,0.35484760171525737,0.9941500517836909,1.8087164819997066,0.002088055108976028,0.005849948216309131,1.3604151784473828,1.0000168154624618,1.0000009066232045,0.999999622907719,0.21666666666666667,13,0,0,1,0.001150244634216853,0.0026095115505477095,-9.299999999999999
14,47446380303826.84,279602447526.8803,12443402668036.984,73540359957033.06,39129726420.01508,10202336313.427036,133709745376423.78,7.630211458936748e-05,0.0002926467798577873,1.0,0.09306279533332394,0.0930642484148529,0.00023783085706017965,6.926629904134041,0.3548476368986968,0.9941498864230413,1.8087163945511155,0.0020881146864502598,0.005850113576958749,1.3604152261464086,1.0000156139897127,1.0000008513935084,0.9999996550099336,0.23333333333333334,14,0,0,1,0.001162693438055859,0.0026377536274433833,-9.283333333333333
15,47959538134231.74,282622217930.8973,12577986227734.43,74335734708763.05,39552947083.3416,10312670761.373354,135155881288660.12,7.630204962629776e-05,0.00029264688081805416,1.0,0.09306281093954696,0.09306416010064253,0.0002378306313683087,6.926628239834225,0.3548476650709446,0.9941497193753321,1.8087163001644557,0.002088174828412781,0.0058502806246678585,1.3604152697847205,1.0000144973172629,1.0000007976460503,0.9999996862027056,0.25,15,0,0,1,0.0011752685329448707,0.0026662822155245195,-9.266666666666666
16,48477849679620.02,285672386633.0296,12713921235988.19,75139097369405.94,39980417041.45708,10424113751.347988,136616540671647.19,7.630198876431779e-05,0.0002926469726498824,1.0,0.09306282514169079,0.09306407805657392,0.00023783042170013338,6.9266266805990755,0.35484768640742925,0.994149550640275,1.8087161989924163,0.0020882355359967963,0.005850449359725007,1.3604153094773594,1.0000134631081876,1.0000008214255691,0.9999996744380064,0.26666666666666666,16,0,0,1,0.0011879699188838886,0.0026950973147911185,-9.249999999999998
17,49004256217336.07,288770399829.722,12851979383041.756,75955007333588.95,40414563982.48996,10537297010.142284,138100013333796.5,7.630192608796474e-05,0.00029264706792464523,1.0,0.09306283955221428,0.09306399338877339,0.00023783020532686534,6.926625074879274,0.3548477094080458,0.9941493792598645,1.8087160973853826,0.0020882972031808222,0.005850620740135537,1.3604153506581291,1.0000123984671503,1.0000007944718634,0.9999996906254321,0.2833333333333333,17,0,0,1,0.0012008696811634477,0.00272436246210541,-9.233333333333333
18,49536818849753.08,291904756943.19037,12991651968692.281,76780459036590.62,40853787568.15191,10651804101.822771,139600834611979.17,7.63018654682795e-05,0.0002926471584622334,1.0,0.09306285313266648,0.0930639119055984,0.00023782999709208482,6.926623521847913,0.35484772852360963,0.9941492058650018,1.808715991218078,0.0020883595707919533,0.005850794134998227,1.3604153897912938,1.0000113769661716,1.000000756827022,0.9999997126382191,0.3,18,0,0,1,0.0012139203009737319,0.002753969853545171,-9.216666666666665
19,50075092211167.086,295072816285.2663,13132822144262.027,77614762098769.69,41297720199.97949,10767539370.858116,141117749270484.06,7.630180772100958e-05,0.0002926472425578662,1.0,0.09306286567177319,0.09306383482624785,0.0002378298001115223,6.9266220424040545,0.3548477425936968,0.9941490306003633,1.8087158796428144,0.0020884225800553158,0.005850969399636696,1.3604154261399903,1.0000104139762693,1.0000007201268877,0.9999997340460125,0.31666666666666665,19,0,0,1,0.0012271108632216005,0.0027838947264983644,-9.2
20,50619076301578.086,298274577855.9496,13275489909750.992,78457916520126.12,41746361877.972694,10884502817.248325,142650757309311.16,7.630175277406583e-05,0.000292647320388588,1.0,0.09306287719851081,0.09306376203631889,0.00023782961409281496,6.926620634701063,0.35484775173192296,0.9941488534656137,1.8087157627610333,0.002088486231758113,0.005851146534386342,1.360415459780748,1.000009507956714,1.0000006843560776,0.9999997548600691,0.3333333333333333,20,0,0,1,0.0012404413679070535,0.00281413708096499,-9.183333333333332
21,51168771120986.08,301510041655.2405,13419655265159.176,79309922300659.94,42199712602.13152,11002694440.993397,144199858728460.44,7.630170055653333e-05,0.0002926473921281495,1.0,0.09306288774130793,0.09306369342337584,0.00023782943874862717,6.926619296922365,0.35484775604994695,0.9941486744604143,1.808715640672281,0.0020885505266771687,0.005851325539585672,1.3604154907886719,1.000008657393806,1.000000649498992,0.9999997750917113,0.35,21,0,0,1,0.0012539118150300909,0.0028446969169450467,-9.166666666666666
