well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
D5,0.085,GC052,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆nmp,Single KO,0.0059629629629629755
D6,0.088,GC047,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆his,Single KO,0.008962962962962964
D7,0.09,GC050,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆rbs,Single KO,0.010962962962962966
D8,0.082,GC048,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆dpp,Single KO,0.002962962962962973
D9,0.083,GC053,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆opp,Single KO,0.003962962962962974
D10,0.089,GC055,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆mgl,Single KO,0.009962962962962965
E3,0.085,GC032,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆mal,Single KO,0.0059629629629629755
E4,0.086,GC049,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆pot,Single KO,0.0069629629629629625
E5,0.086,GC052,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆nmp,Single KO,0.0069629629629629625
E6,0.088,GC047,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆his,Single KO,0.008962962962962964
E7,0.088,GC050,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆rbs,Single KO,0.008962962962962964
E8,0.083,GC048,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆dpp,Single KO,0.003962962962962974
E9,0.085,GC053,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆opp,Single KO,0.0059629629629629755
E10,0.089,GC055,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆mgl,Single KO,0.009962962962962965
F3,0.083,GC030,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆glt,Single KO,0.003962962962962974
F4,0.085,GC030,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆glt,Single KO,0.0059629629629629755
F5,0.083,GC030,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆glt,Single KO,0.003962962962962974
F6,0.083,GC029,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆flh,Single KO,0.003962962962962974
F7,0.085,GC029,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆flh,Single KO,0.0059629629629629755
F8,0.083,GC029,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆flh,Single KO,0.003962962962962974
F9,0.084,GC001,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,WT,WT,0.004962962962962975
F10,0.084,GC001,2,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,WT,WT,0.004962962962962975
F11,0.081,GC001,3,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,WT,WT,0.001962962962962972
C3,0.086,GC032,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.007037037037037036
C4,0.088,GC049,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.009037037037037038
C5,0.089,GC052,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.010037037037037039
C6,0.086,GC047,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.007037037037037036
C7,0.089,GC050,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.010037037037037039
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
C9,0.086,GC053,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.007037037037037036
C10,0.088,GC055,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.009037037037037038
D3,0.087,GC032,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.008037037037037037
