preshift_growth_rate,postshift_growth_rate,entry_time,exit_time,lag_time,date,run_number,strain,replicate,class,medium
0.6308646656369592,0.41164805859706255,2.008888888888889,4.70249840819819,2.6936095193093013,2021-09-07,1,WT,1,WT,glucose-acetate
0.6282647995915067,0.3877846086235089,1.8833333333333333,4.624218353275578,2.7408850199422443,2021-09-07,1,WT,2,WT,glucose-acetate
0.7569694389569517,0.3970148497769983,1.5066666666666668,4.136685168604832,2.6300185019381654,2021-09-07,1,WT,3,WT,glucose-acetate
0.7570260387669477,0.421072375396236,1.5066666666666668,3.7408122178118792,2.2341455511452124,2021-09-07,1,∆dpp,1,Single KO,glucose-acetate
0.8219156217509804,0.4127199105623591,1.5066666666666668,3.6678567503508273,2.1611900836841604,2021-09-07,1,∆dpp,2,Single KO,glucose-acetate
0.757623174400262,0.426246988232841,1.5066666666666668,3.7204948822406694,2.2138282155740026,2021-09-07,1,∆dpp,3,Single KO,glucose-acetate
0.86046139850212,0.4017863746688154,1.8833333333333333,4.304712710882755,2.4213793775494215,2021-09-07,1,∆flh,1,Single KO,glucose-acetate
0.7683293468220445,0.3721568772753478,2.1344444444444446,4.560458838486673,2.426014394042228,2021-09-07,1,∆flh,2,Single KO,glucose-acetate
0.8613710181031932,0.3257130951788346,1.8833333333333333,4.334471823836044,2.4511384905027103,2021-09-07,1,∆flh,3,Single KO,glucose-acetate
0.6850302195675639,0.4739861672438389,1.6322222222222222,3.5570193757099258,1.9247971534877035,2021-09-07,1,∆glt,1,Single KO,glucose-acetate
0.6391894676566248,0.40106215481396634,1.7577777777777777,3.71817637510126,1.9603985973234823,2021-09-07,1,∆glt,2,Single KO,glucose-acetate
0.6897170205049619,0.40967236984890065,1.7577777777777779,3.5990571222129994,1.8412793444352216,2021-09-07,1,∆glt,3,Single KO,glucose-acetate
0.7136938214096197,0.40949747380456586,1.5066666666666666,3.9579705164722845,2.451303849805618,2021-09-07,1,∆his,1,Single KO,glucose-acetate
0.568207555352872,0.3663820534015964,2.1344444444444446,4.503594747533922,2.369150303089478,2021-09-07,1,∆his,2,Single KO,glucose-acetate
0.5353390306712771,0.34250370267196023,2.26,4.646417483708008,2.3864174837080085,2021-09-07,1,∆his,3,Single KO,glucose-acetate
0.6728085052705968,0.41325074454445715,1.7577777777777777,3.8724417056279865,2.114663927850209,2021-09-07,1,∆mal,1,Single KO,glucose-acetate
0.6394615746515095,0.4232659856594509,1.7577777777777777,3.9275352424490517,2.169757464671274,2021-09-07,1,∆mal,2,Single KO,glucose-acetate
0.733968975917648,0.47533521668608636,1.6322222222222222,3.828761756325747,2.1965395341035245,2021-09-07,1,∆mal,3,Single KO,glucose-acetate
0.7068237681147771,0.32207763821196955,2.008888888888889,4.4164346928652005,2.4075458039763116,2021-09-07,1,∆mgl,1,Single KO,glucose-acetate
0.6549190219445427,0.31308809410362265,2.134444444444444,4.490358039137276,2.355913594692832,2021-09-07,1,∆mgl,2,Single KO,glucose-acetate
0.658670521721384,0.31330394503620024,2.134444444444444,4.511753701647177,2.3773092572027332,2021-09-07,1,∆mgl,3,Single KO,glucose-acetate
0.5670561579954908,0.3880010986648513,2.26,4.544307912434108,2.284307912434108,2021-09-07,1,∆nmp,1,Single KO,glucose-acetate
0.7088599755173305,0.44777724055420126,1.5066666666666666,3.7920601626330077,2.285393495966341,2021-09-07,1,∆nmp,2,Single KO,glucose-acetate
0.6754762364757867,0.4533785310258201,1.632222222222222,4.00502659883122,2.372804376608998,2021-09-07,1,∆nmp,3,Single KO,glucose-acetate
0.6133573491204412,0.3119933242123827,2.2600000000000002,3.841738095543441,1.5817380955434408,2021-09-07,1,∆opp,1,Single KO,glucose-acetate
0.7156228142160225,0.31872721522220776,1.8833333333333335,3.5136106747388034,1.6302773414054699,2021-09-07,1,∆opp,2,Single KO,glucose-acetate
0.6443474680692486,0.3250917331674183,2.2600000000000002,4.0210617629409455,1.7610617629409453,2021-09-07,1,∆opp,3,Single KO,glucose-acetate
0.5062768156955078,0.40767101024686614,2.2600000000000002,5.079007818906263,2.8190078189062624,2021-09-07,1,∆pot,1,Single KO,glucose-acetate
0.7443892582990475,0.43361865337482225,1.3811111111111112,4.176484304768003,2.795373193656892,2021-09-07,1,∆pot,2,Single KO,glucose-acetate
0.645619628826254,0.45331437888706577,1.6322222222222222,4.5192953652216055,2.887073142999383,2021-09-07,1,∆pot,3,Single KO,glucose-acetate
0.8625382205619128,0.2991580189376612,2.134444444444444,4.3829236870781,2.248479242633656,2021-09-07,1,∆rbs,1,Single KO,glucose-acetate
0.7994087165462214,0.30677558690200835,2.26,4.517322049375993,2.2573220493759933,2021-09-07,1,∆rbs,2,Single KO,glucose-acetate
0.8875902095283077,0.30354203801528473,2.134444444444444,4.373645598808153,2.239201154363709,2021-09-07,1,∆rbs,3,Single KO,glucose-acetate
