time_hr,od650nm,culture_temp_C,stir_rate,date,strain,replicate,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M
18.668852777777776,2.515697330073081,36.870000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.685530555555555,2.4963162541724566,36.93000000000001,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.702219444444445,2.4825667600521624,37.110000000000014,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.718908333333335,2.4960364914894564,36.97000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.73559722222222,2.5048733902634366,37.01000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.752283333333335,2.524410932478917,37.03000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.768969444444444,2.479539743558668,37.09000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.785647222222224,2.499575481125921,36.89000000000004,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.802333333333333,2.5073227772862654,36.870000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.81902222222222,2.5047088386702843,36.85000000000002,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.835700000000003,2.485484019108047,37.01000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.85238611111111,2.5447788437881127,37.170000000000016,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.869069444444442,2.5172783489342985,36.85000000000002,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.885755555555555,2.524630101678594,36.97000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.90243333333333,2.51251342828847,37.09000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.91912222222222,2.506200683810369,36.89000000000004,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.935808333333334,2.5184297834761757,36.85000000000002,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.95248888888889,2.533727979513473,37.05000000000001,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.969175,2.528711640545864,36.870000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
18.985855555555556,2.5346381140245517,36.97000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
19.002541666666666,2.5263415554951165,36.89000000000004,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
19.019230555555556,2.5315777978430525,37.01000000000005,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
19.035911111111112,2.5211828785860657,36.950000000000045,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
19.05258888888889,2.533980251579191,37.09000000000003,0.75,2024-04-17,WT,1,glucose,0.005,acetate,0.03
5.277777777777778e-05,0.016462435032934,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.01673611111111111,0.0349285951916084,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.03342222222222222,0.027789777855569,36.73000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.050105555555555556,0.0431037518442505,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.06679166666666667,0.0406841084310504,36.610000000000014,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.08347777777777778,0.0358432154688002,36.71000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.10015833333333334,0.0158419529589703,36.71000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.11684444444444445,0.0310529960547185,36.93000000000001,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.133525,0.0293568448263578,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.15020833333333333,0.0174756400997302,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.1668861111111111,0.0204458939194534,36.79000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.18356666666666668,0.0256836774408962,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.20024999999999998,0.0362425243994317,36.89000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.2169388888888889,0.0388499590367893,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.23361944444444444,0.0148750030935929,36.610000000000014,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.2502972222222222,0.026695534275022,36.73000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.26698333333333335,0.0360441160136703,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.2836666666666667,0.0392903716997444,36.89000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.3003472222222222,0.0181342398969655,36.950000000000045,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.3170361111111111,0.0219371546582851,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.33371388888888887,0.0316751184633241,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.35039722222222225,0.0359894292753317,36.85000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.3670777777777778,0.024710712267614,36.89000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.38376666666666664,0.023897888122489,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.4004527777777778,0.036676882155921,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.41713333333333336,0.0333667447612379,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.4338194444444444,0.0326206029592451,37.03000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.45050555555555555,0.0247541550192817,37.27000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.4671861111111111,0.0316098056591992,37.03000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.48386111111111113,0.0270530018421876,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.50055,0.0251501124055172,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.5172277777777777,0.0336138026706797,36.85000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.5339055555555555,0.0258400700401278,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.5505861111111111,0.0261536333532243,36.85000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.5672666666666667,0.0292180066609479,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.5839555555555555,0.0436288892249255,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6006416666666666,0.0486592655343003,36.73000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6173222222222222,0.0255165824247462,36.89000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6340111111111111,0.0503844394408834,36.89000000000004,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6506888888888889,0.0286760234264616,36.85000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6673666666666667,0.0324591499154629,36.79000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.6840444444444445,0.0347501951970504,36.81,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.700725,0.0303334277262376,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.7174111111111111,0.033880670462904,36.93000000000001,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.7340888888888888,0.0373154389989538,36.950000000000045,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.7507666666666667,0.0282973631307665,36.85000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.7674555555555556,0.035630155362623,36.950000000000045,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.7841416666666666,0.0406870033310459,37.01000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8008277777777778,0.0512454620725903,36.950000000000045,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8175083333333334,0.0483060946160939,37.09000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8341916666666667,0.0196228261560968,37.05000000000001,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8508722222222221,0.0200470219605927,36.79000000000002,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8675527777777778,0.0468915448353452,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.8842388888888889,0.0471694811089216,37.110000000000014,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9009222222222223,0.0532939672507138,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9176055555555556,0.0448274432229115,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9342916666666666,0.0514519195812622,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9509694444444444,0.0548256006475762,37.190000000000055,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9676583333333334,0.0378032779159769,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
0.9843444444444444,0.0480660139848145,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
1.0010222222222223,0.0670178774583705,36.97000000000003,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
1.0177083333333334,0.06226494880231,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
1.0343944444444444,0.0271946111720223,36.870000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
1.0510833333333334,0.0407702044705075,37.01000000000005,0.75,2024-04-17,WT,2,glucose,0.005,acetate,0.03
