nu_max_preshift,nu_max_postshift,lag_time_hr,min_gamma,useful_fraction_pre,useful_fraction_post,dilution_cyle
10.0,1.0,9.63111485576335,0.04918867331888738,1,1,1
10.0,1.0,5.9347989356805355,0.28621031069653496,1,1,2
10.0,1.0,5.936158716667924,0.28634464647352675,1,1,3
10.0,1.0,5.93418403527391,0.2866087712571441,1,1,4
10.0,1.0,5.941558024961891,0.28621895411689824,1,1,5
10.0,1.0,5.943739415532267,0.28610713238479113,1,1,6
10.0,1.0,5.934190850668072,0.2861623061813829,1,1,7
10.0,1.0,5.9385054852979575,0.2859204825117031,1,1,8
10.0,1.0,5.93456734391545,0.28600151321371636,1,1,9
10.0,1.0,5.935111298313832,0.28595964108509997,1,1,10
10.0,1.0,5.9358983496777,0.28654157541640335,1,1,11
10.0,1.0,5.932843415049545,0.28601080552302055,1,1,12
10.0,1.0,5.9345555088906154,0.28616267337296797,1,1,13
10.0,1.0,5.932412181064519,0.28634847084631504,1,1,14
10.0,1.0,5.934211948353745,0.2862344409463172,1,1,15
10.0,1.0,5.937038647252386,0.28581063957847475,1,1,16
