nu_max_preshift,nu_max_postshift,lag_time_hr,shift_time,regrowth_time,shift_biomass,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
1.0,0.5,17.7087721688467,4.15,21.858772168846702,1.935e+16,0.08922665671612555,0.3576401551179147,0.19363103409704077,1,1
1.5,0.5,17.970889238362876,2.933333333333333,20.90422257169621,1.935e+16,0.06528123050090705,0.506215109142263,0.19361868260390694,1,1
2.0,0.5,16.158821427948933,2.3166666666666664,18.4754880946156,1.935e+16,0.0525248754908559,0.640722928000075,0.16967492705748316,1,1
2.5,0.5,16.855158015223275,1.95,18.805158015223274,1.935e+16,0.04466416355871941,0.763385088153326,0.17754443737412193,1,1
3.0,0.5,17.360141833272994,1.7,19.060141833272993,1.935e+16,0.039160895672593746,0.8758690291627192,0.18274402083547608,1,1
3.5,0.5,17.837615156918694,1.5166666666666666,19.35428182358536,1.935e+16,0.0351826315142367,0.9795488559105483,0.18699937111710901,1,1
4.0,0.5,18.456709727494967,1.3833333333333333,19.8400430608283,1.935e+16,0.03211379921191276,1.075421849068417,0.19292957597427152,1,1
4.5,0.5,18.575172814219684,1.2833333333333332,19.85850614755302,1.935e+16,0.02963092435201205,1.1644574751728713,0.19308774363286307,1,1
5.0,0.5,18.6924772148295,1.2,19.892477214829498,1.935e+16,0.027664424506538166,1.2473345701176313,0.1932026581015999,1,1
5.5,0.5,18.79119366668728,1.1333333333333333,19.924527000020614,1.935e+16,0.025988018568069857,1.3246677400184461,0.1932761750882742,1,1
6.0,0.5,18.880484677196,1.0666666666666667,19.947151343862668,1.935e+16,0.02460878278706187,1.3971544207868751,0.1933340007610289,1,1
6.5,0.5,18.967462199046974,1.0166666666666666,19.98412886571364,1.935e+16,0.02341390571378412,1.4651063128927149,0.1933861884824559,1,1
7.0,0.5,19.037378589759214,0.9833333333333333,20.02071192309255,1.935e+16,0.02234574727926281,1.528917653463423,0.19341814773109098,1,1
7.5,0.5,19.13983286482092,0.9333333333333333,20.073166198154254,1.935e+16,0.021449045040951634,1.5891403305664908,0.1934464450404256,1,1
8.0,0.5,19.18153484458206,0.9166666666666666,20.09820151124873,1.935e+16,0.020631553893081717,1.6460015472012688,0.1934792830585327,1,1
8.5,0.5,19.231234383365987,0.8833333333333333,20.11456771669932,1.935e+16,0.019904688960000545,1.6996699460178457,0.1934886273963927,1,1
9.0,0.5,19.29548825229898,0.85,20.145488252298982,1.935e+16,0.019243633301530075,1.7506210436525285,0.19351222841165755,1,1
9.5,0.5,19.337796269562972,0.8333333333333334,20.171129602896304,1.935e+16,0.018657939398207087,1.7988451376060928,0.19351908830468606,1,1
10.0,0.5,19.37379650236283,0.8166666666666667,20.190463169029496,1.935e+16,0.018128301920504762,1.8447857011100066,0.19353073294164946,1,1
10.5,0.5,19.430114004596245,0.8,20.230114004596246,1.935e+16,0.017626159759155168,1.8883727823000191,0.19353912381032168,1,1
11.0,0.5,19.48909058553022,0.7666666666666666,20.255757252196886,1.935e+16,0.017189477072728578,1.9298917172162164,0.19354508938146278,1,1
11.5,0.5,19.50357276115723,0.7666666666666666,20.270239427823896,1.935e+16,0.016775123492129732,1.9696294310103568,0.19355464801839128,1,1
12.0,0.5,19.558724733395835,0.75,20.308724733395835,1.935e+16,0.01637665143991957,2.0074456290745117,0.19356052518700803,1,1
12.5,0.5,19.60340434582126,0.7333333333333333,20.336737679154595,1.935e+16,0.016050235484289223,2.043598994339109,0.19356693842856096,1,1
13.0,0.5,19.665173708788494,0.7166666666666667,20.38184037545516,1.935e+16,0.015704391639630912,2.0781928676151193,0.19357138813436792,1,1
13.5,0.5,19.702929392215122,0.7,20.40292939221512,1.935e+16,0.015394991385392146,2.1113317138781964,0.19357609922435337,1,1
14.0,0.5,19.705928635464847,0.7,20.405928635464846,1.935e+16,0.015116954564500459,2.1432627041577543,0.19357046072169465,1,1
14.5,0.5,19.762521641644756,0.6833333333333333,20.44585497497809,1.935e+16,0.0148516272927874,2.173761053355193,0.19358371254317036,1,1
15.0,0.5,19.77012660797223,0.6833333333333333,20.453459941305564,1.935e+16,0.014577449173484941,2.2030657003159395,0.1935866282164854,1,1
15.5,0.5,19.813812288894812,0.6666666666666666,20.48047895556148,1.935e+16,0.014358099458219468,2.231236803119167,0.19358867108830816,1,1
