,dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_preshift,nu_postshift,K,lam_postshift,lam_preshift,alpha_2_preallocation
0,1.0,0.0,0.0,1.9350741927693636e+16,0.8270000000000001,27.212744374499927,26.385744374499925,10,1.0,1e-09,0.359124275350046,1.8438869611711504,2.6008876700756298e-06
0,1.0,0.0,0.0,1.9350749075955704e+16,0.8270000000000001,13.893499537710412,13.066499537710412,10,2.0,1e-09,0.6463605527259735,1.8438870549175561,2.600887633652974e-06
0,1.0,0.0,0.0,1.9350756226347016e+16,0.8270000000000001,9.45436832037537,8.62736832037537,10,3.0,1e-09,0.8831118996245496,1.843887147021436,2.6008876150526097e-06
0,1.0,0.0,0.0,1.9350763385774604e+16,0.8270000000000001,7.251973380743273,6.424973380743273,10,4.0,1e-09,1.0837319207704414,1.8438872404884463,2.600887585726206e-06
0,1.0,0.0,0.0,1.9350770552277388e+16,0.8270000000000001,5.9418442727890435,5.1148442727890435,10,5.0,1e-09,1.2563393031828973,1.8438873327522958,2.6008875797456824e-06
0,1.0,0.0,0.0,1.935077772448188e+16,0.8270000000000001,5.07248833689927,4.24548833689927,10,6.0,1e-09,1.406635417038863,1.8438874252583017,2.6008875823487425e-06
0,1.0,0.0,0.0,1.935078490233706e+16,0.8270000000000001,4.4522679985853735,3.6252679985853735,10,7.0,1e-09,1.538829792587534,1.843887518774092,2.600887545030568e-06
0,1.0,0.0,0.0,1.9350792086376716e+16,0.8270000000000001,3.9944870095282448,3.167487009528245,10,8.0,1e-09,1.656027919149235,1.843887611516903,2.600887526925675e-06
0,1.0,0.0,0.0,1.9350799277204016e+16,0.8270000000000001,3.640051857061435,2.813051857061435,10,9.0,1e-09,1.7607649092299682,1.8438877036062429,2.600887529563143e-06
0,1.0,0.0,0.0,1.935080647380956e+16,0.8270000000000001,3.356502243471292,2.529502243471292,10,10.0,1e-09,1.8549443012886453,1.8438877970975287,2.600887492070636e-06
0,1.0,0.0,0.0,1.9350813704345144e+16,0.8270000000000001,3.1246997764037983,2.2976997764037983,10,11.0,1e-09,1.9401337213133054,1.843887889891206,2.600887474452039e-06
0,1.0,0.0,0.0,1.9350820913524176e+16,0.8270000000000001,2.9342969844665765,2.1072969844665765,10,12.0,1e-09,2.0175697036920037,1.8438879827577799,2.6008874447113664e-06
0,1.0,0.0,0.0,1.9350828129225656e+16,0.8270000000000001,2.7734110368494767,1.9464110368494767,10,13.0,1e-09,2.0883029710735204,1.843888075416627,2.600887438756075e-06
0,1.0,0.0,0.0,1.935083535075175e+16,0.8270000000000001,2.6357068298832655,1.8087068298832656,10,14.0,1e-09,2.1531821411568637,1.8438881681469108,2.6008874210874718e-06
0,1.0,0.0,0.0,1.9350842578911436e+16,0.8270000000000001,2.5175280519092045,1.6905280519092045,10,15.0,1e-09,2.212921379423329,1.8438882602368165,2.6008873915298484e-06
0,1.0,0.0,0.0,1.935084981337023e+16,0.8270000000000001,2.414950481965568,1.587950481965568,10,16.0,1e-09,2.2681213705212624,1.8438883537807738,2.6008873740745733e-06
0,1.0,0.0,0.0,1.935085705461233e+16,0.8270000000000001,2.322382226541803,1.4953822265418029,10,17.0,1e-09,2.319294045632104,1.8438884457430873,2.6008873887891572e-06
0,1.0,0.0,0.0,1.935086430176917e+16,0.8270000000000001,2.242212959369143,1.4152129593691432,10,18.0,1e-09,2.3668399721539317,1.8438885391809032,2.600887350502061e-06
0,1.0,0.0,0.0,1.93508715549311e+16,0.8270000000000001,2.171859060371019,1.3448590603710189,10,19.0,1e-09,2.4112300442222168,1.8438886314956229,2.6008873327788643e-06
0,1.0,0.0,0.0,1.9350878814199988e+16,0.8270000000000001,2.10673612134679,1.2797361213467902,10,20.0,1e-09,2.4526952227036443,1.8438887242885875,2.6008873155341646e-06
0,1.0,0.0,0.0,1.93508025721205e+16,0.8270000000000001,22.158313317821264,21.331313317821262,10,1.0,1e-08,0.3596111776529792,1.8438795448647707,2.600823320928407e-05
0,1.0,0.0,0.0,1.935087054104427e+16,0.8270000000000001,11.354375405898871,10.527375405898871,10,2.0,1e-08,0.6463602721716976,1.8438804723829532,2.6008231444516674e-05
0,1.0,0.0,0.0,1.9350938622484572e+16,0.8270000000000001,7.7611596224172885,6.934159622417289,10,3.0,1e-08,0.8831093295535746,1.843881400400066,2.6008229680727375e-05
