time_start,time_stop,M_start,M_stop,growth_rate_hr,species_label,steady_state_idx,alpha_1,alpha_2,nu_max_preshift,nu_max_postshift
18.516666666666666,44.483333333333334,5.592075114016741e+17,2.9321318835047225e+21,0.32950313554406696,1,1,0.1,0.9,5.0,1.0
0.0,5.816666666666666,4600000000000000.0,1.4433514735904604e+16,0.1963857606717721,1,0,0.1,0.9,5.0,1.0
13.116666666666667,43.78333333333333,3.247670310648572e+17,2.928036611638545e+21,0.29667266407633097,1,1,0.2,0.8,5.0,1.0
0.0,4.533333333333333,4600000000000000.0,2.3890004186716336e+16,0.36272808603745976,1,0,0.2,0.8,5.0,1.0
17.366666666666667,47.266666666666666,1.1095490980673495e+18,2.927490469119863e+21,0.26318374097410413,1,1,0.30000000000000004,0.7,5.0,1.0
0.0,3.683333333333333,4599999999999999.0,3.0306542751923096e+16,0.5109972350167629,1,0,0.30000000000000004,0.7,5.0,1.0
21.4,53.233333333333334,1.9965849791538898e+18,2.936638690078259e+21,0.22886955847899404,1,1,0.4,0.6,5.0,1.0
0.0,2.5833333333333335,4600000000000000.0,2.444148372370427e+16,0.645339783948297,1,0,0.4,0.6,5.0,1.0
26.95,62.199999999999996,3.169504394016804e+18,2.931052534263196e+21,0.19366692372071415,1,1,0.5,0.5,5.0,1.0
0.0,2.0666666666666664,4600000000000000.0,2.255432945792484e+16,0.7679422682101679,1,0,0.5,0.5,5.0,1.0
35.35,75.98333333333333,4.856255823800316e+18,2.9414316098284536e+21,0.15750438829255775,1,1,0.6,0.4,5.0,1.0
0.0,1.75,4600000000000000.0,2.1529748522694412e+16,0.880402918576767,1,0,0.6,0.4,5.0,1.0
49.733333333333334,99.18333333333334,7.647428173655992e+18,2.9394800124946756e+21,0.12028233243977028,1,1,0.7000000000000001,0.29999999999999993,5.0,1.0
0.0,1.5166666666666666,4600000000000000.0,2.0528696328624296e+16,0.9840657315401278,1,0,0.7000000000000001,0.29999999999999993,5.0,1.0
79.08333333333333,99.96666666666667,1.2609158274882925e+19,6.978961371975831e+19,0.08184434967743176,1,1,0.8,0.19999999999999996,5.0,1.0
0.0,1.3666666666666667,4599999999999999.0,2.016223433401062e+16,1.0799252845311598,1,0,0.8,0.19999999999999996,5.0,1.0
0.0,1.25,4600000000000000.0,1.986519022515132e+16,1.1689071035949141,1,0,0.9,0.09999999999999998,5.0,1.0
0.0,1.1666666666666667,4600000000000000.0,1.98632680249758e+16,1.2517254156646669,1,0,1.0,0.0,5.0,1.0
