time_start,time_stop,M_start,M_stop,avg_growth_rate_hr,min_growth_rate_hr,max_growth_rate_hr,dilution_cycle,species_label,cycle_ss_idx,total_ss_idx,nu_max_preshift,nu_max_postshift,growth_rate_preshift,growth_rate_postshift,K
0.0,10.45,115000000000000.0,4715783541620308.0,0.3548056700279498,0.353215477280531,0.355213905735001,1,0,1,1,1,0.5,0.3548056700279498,0.19176860954421507,1e-05
46.06666666666666,49.983333333333334,7.286301492284598e+17,1.5448928957277476e+18,0.19176860954421507,0.19089305418823987,0.1924408876606577,1,0,2,2,1,0.5,0.3548056700279498,0.19176860954421507,1e-05
0.0,10.5,115000000000000.0,4818034910734117.0,0.35515758055547203,0.3535710690876751,0.3555609000221712,1,0,1,1,1,0.5555555555555556,0.35515758055547203,0.21193657482252115,1e-05
43.333333333333336,49.983333333333334,7.893961636772547e+17,3.234644438421044e+18,0.21193657482252115,0.21058585017541046,0.21276065604408845,1,0,2,2,1,0.5555555555555556,0.35515758055547203,0.21193657482252115,1e-05
0.0,10.533333333333333,114999999999999.98,4893708250338281.0,0.35551226225646687,0.353945491503943,0.35590780963214563,1,0,1,1,1,0.6111111111111112,0.35551226225646687,0.23164524466173675,1e-05
40.983333333333334,49.983333333333334,8.349056845910949e+17,6.723589223520623e+18,0.23164524466173675,0.22994878381607975,0.23246813856904203,1,0,2,2,1,0.6111111111111112,0.35551226225646687,0.23164524466173675,1e-05
0.0,10.583333333333334,115000000000000.0,5000181287625153.0,0.35586470145231514,0.35430409100259713,0.35625463538441576,1,0,1,1,1,0.6666666666666666,0.35586470145231514,0.2503011367792524,1e-05
39.05,43.81666666666666,8.88017606950378e+17,2.930695303253691e+18,0.2503011367792524,0.24907510900293992,0.2510311328561558,1,0,2,2,1,0.6666666666666666,0.35586470145231514,0.2503011367792524,1e-05
43.9,49.983333333333334,2.9926695709306655e+18,1.384604247355181e+19,0.25151640222976335,0.2511154597776716,0.25174116517596495,1,0,3,3,1,0.6666666666666666,0.35586470145231514,0.2503011367792524,1e-05
0.0,10.633333333333333,114999999999999.98,5109197635583009.0,0.35621743158572405,0.3546641142844934,0.35660137603480335,1,0,1,1,1,0.7222222222222222,0.35621743158572405,0.2700053128417009,1e-05
37.45,49.983333333333334,9.487567989432204e+17,2.808692243456059e+19,0.2700053128417009,0.26797363962397963,0.2706713402390978,1,0,2,2,1,0.7222222222222222,0.35621743158572405,0.2700053128417009,1e-05
0.0,10.683333333333334,115000000000000.0,5220788080553950.0,0.3565704717965422,0.35502607110470913,0.3569480321377056,1,0,1,1,1,0.7777777777777778,0.3565704717965422,0.2887241504276766,1e-05
36.0,49.983333333333334,9.96283733758913e+17,5.672346576585917e+19,0.2887241504276766,0.286581079176573,0.2893151965796544,1,0,2,2,1,0.7777777777777778,0.3565704717965422,0.2887241504276766,1e-05
0.0,10.733333333333333,115000000000000.0,5335014079479313.0,0.3569238343104169,0.3553901766284597,0.357294603973619,1,0,1,1,1,0.8333333333333333,0.3569238343104169,0.3071712863350793,1e-05
34.75,49.983333333333334,1.0453486612040174e+18,1.1315036585195969e+20,0.3071712863350793,0.3049537357111066,0.3076942726520292,1,0,2,2,1,0.8333333333333333,0.3569238343104169,0.3071712863350793,1e-05
0.0,10.8,115000000000000.0,5484374604378674.0,0.35727516638661544,0.3557393160488727,0.3576410916375019,1,0,1,1,1,0.8888888888888888,0.35727516638661544,0.3253617674298711,1e-05
33.6,49.983333333333334,1.0847684739533356e+18,2.2514865713092906e+20,0.3253617674298711,0.32307087818848224,0.32582779595286504,1,0,2,2,1,0.8888888888888888,0.35727516638661544,0.3253617674298711,1e-05
0.0,10.883333333333333,115000000000000.0,5671734188232580.0,0.3576245346013897,0.3560737605565844,0.3579874945520938,1,0,1,1,1,0.9444444444444444,0.3576245346013897,0.3412359003250211,1e-05
32.583333333333336,33.25,1.112835828818409e+18,1.3972935593515249e+18,0.3412359003250211,0.34096181769475686,0.3414458209335065,1,0,2,2,1,0.9444444444444444,0.3576245346013897,0.3412359003250211,1e-05
33.416666666666664,49.983333333333334,1.479157951698178e+18,4.398340672391123e+20,0.34340066808794667,0.34169559632654656,0.34372727221194316,1,0,3,3,1,0.9444444444444444,0.3576245346013897,0.3412359003250211,1e-05
0.0,10.883333333333333,115000000000000.0,5694135854400378.0,0.35798606127098004,0.35649776886132445,0.35833381402793785,1,0,1,1,1,1.0,0.35798606127098004,0.3591467669093705,1e-05
31.9,32.53333333333333,1.2385914842912218e+18,1.5550586923823677e+18,0.3591467669093705,0.35889065297892775,0.35931570704686916,1,0,2,2,1,1.0,0.35798606127098004,0.3591467669093705,1e-05
32.63333333333333,49.983333333333334,1.6119697801547382e+18,8.533965332314229e+20,0.36112009672534046,0.3594682888246264,0.36140077221068256,1,0,3,3,1,1.0,0.35798606127098004,0.3591467669093705,1e-05
0.0,5.25,115000000000000.0,3224875980464724.0,0.6336421319044073,0.6318841486011825,0.6341556571675877,1,0,1,1,2,0.5,0.6336421319044073,0.19245442450106912,1e-05
40.5,49.983333333333334,7.282389831692564e+17,4.5231901424574597e+18,0.19245442450106912,0.19087942602105495,0.1932952589139143,1,0,2,2,2,0.5,0.6336421319044073,0.19245442450106912,1e-05
0.0,5.266666666666667,115000000000000.02,3274183581657367.0,0.6345136840427534,0.6328042386454473,0.6350138549817496,1,0,1,1,2,0.6666666666666666,0.6345136840427534,0.25129704301434086,1e-05
