nu_max_preshift,nu_max_postshift,lag_time_hr,shift_time,regrowth_time,shift_biomass,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
10.0,1.0,93.77796079725549,1.1166666666666667,94.89462746392215,3.41e+16,0.004856381031765932,1.8407009222462591,0.04199579587384177,1,0.1
10.0,1.8888888888888888,48.92786537667758,1.1166666666666667,50.04453204334425,3.41e+16,0.009183773904885787,1.840787421962226,0.0774930666764173,1,0.1
10.0,2.7777777777777777,32.873054719197185,1.1166666666666667,33.98972138586385,3.41e+16,0.01351906323646527,1.8408739151168148,0.11181828367423477,1,0.1
10.0,3.6666666666666665,24.680532384920348,1.1,25.78053238492035,3.41e+16,0.01788354847420516,1.8409604023435913,0.14515251370775217,1,0.1
10.0,4.555555555555555,19.68602507784674,1.1,20.78602507784674,3.41e+16,0.02224734332775667,1.8410468735720038,0.17760491966819456,1,0.1
10.0,5.444444444444445,16.34903361351235,1.1,17.449033613512352,3.41e+16,0.026610082244707563,1.8410386597005688,0.20924472531724578,1,0.1
10.0,6.333333333333333,13.948814465044569,1.1,15.048814465044568,3.41e+16,0.03099461116448713,1.841125465762322,0.24013739436921863,1,0.1
10.0,7.222222222222221,12.144724795290522,1.1,13.244724795290521,3.41e+16,0.035385096081443385,1.8412122479957185,0.27027266025676216,1,0.1
10.0,8.11111111111111,10.728332644418973,1.1,11.828332644418973,3.41e+16,0.03979120515819607,1.841299037315725,0.2997244729221211,1,0.1
10.0,9.0,9.59911230409256,1.1,10.69911230409256,3.41e+16,0.04420671294518536,1.8413858032407464,0.3285010909637202,1,0.1
10.0,1.0,46.13746517050702,1.1166666666666667,47.25413183717369,3.41e+16,0.009727642972765136,1.8407982416392061,0.08184288609179836,1,0.2
10.0,1.8888888888888888,23.93091403439532,1.1,25.030914034395323,3.41e+16,0.018429024149490585,1.840971206666733,0.14925679686552676,1,0.2
10.0,2.7777777777777777,16.01694703899181,1.1,17.11694703899181,3.41e+16,0.02715739723599964,1.8410495171008923,0.21314487551601957,1,0.2
10.0,3.6666666666666665,11.938953853842122,1.1,13.038953853842122,3.41e+16,0.03593511292883149,1.8412230998998262,0.27399464234249066,1,0.2
10.0,4.555555555555555,9.398254163648762,1.1,10.498254163648761,3.41e+16,0.044759805982396206,1.8413966585634112,0.3295181654135777,1,0.2
10.0,5.444444444444445,7.808798389297868,1.1,8.908798389297868,3.41e+16,0.053628943842610466,1.8415701689696453,0.3875997614280655,1,0.2
10.0,6.333333333333333,6.420828352947977,1.1,7.5208283529479765,3.41e+16,0.06243940546405566,1.8417436481221747,0.426056907291389,1,0.2
10.0,7.222222222222221,5.854219475028188,1.1,6.954219475028188,3.41e+16,0.0712357920067648,1.841917102825828,0.49493121396900747,1,0.2
10.0,8.11111111111111,5.175296317908998,1.1,6.275296317908998,3.41e+16,0.08005321914608828,1.842090507750004,0.5452324129502852,1,0.2
10.0,9.0,4.630697945792075,1.1,5.730697945792076,3.41e+16,0.08894902347899541,1.842263892777687,0.5937874259609089,1,0.2
10.0,1.0,30.350878149235022,1.1,31.450878149235024,3.41e+16,0.014612006119077979,1.8408955422737405,0.1202419289212498,1,0.30000000000000004
10.0,1.8888888888888888,15.676738376975377,1.1,16.776738376975377,3.41e+16,0.027704890481782592,1.8410603587197203,0.21703279770422998,1,0.30000000000000004
10.0,2.7777777777777777,10.41264218063025,1.1,11.51264218063025,3.41e+16,0.040893649153913116,1.8413207220405183,0.3069212935343713,1,0.30000000000000004
10.0,3.6666666666666665,7.723189565572424,1.1,8.823189565572424,3.41e+16,0.05419113887548651,1.8415810110735422,0.3909465985832207,1,0.30000000000000004
10.0,4.555555555555555,6.205056761044453,1.1,7.305056761044453,3.41e+16,0.06738494534496849,1.8418412251634304,0.47233978941702104,1,0.30000000000000004
10.0,5.444444444444445,5.13679782693591,1.1,6.236797826935909,3.41e+16,0.08060505093577977,1.8421013593598095,0.548318170637896,1,0.30000000000000004
10.0,6.333333333333333,4.372146413184236,1.1,5.472146413184237,3.41e+16,0.09393261379538413,1.842361408919606,0.6203765433036864,1,0.30000000000000004
10.0,7.222222222222221,3.7992127802400897,1.1,4.89921278024009,3.41e+16,0.10722476123039162,1.8426213846960064,0.6888938465513321,1,0.30000000000000004
10.0,8.11111111111111,3.355535009375266,1.1,4.455535009375266,3.41e+16,0.12060016634518578,1.8428812853839727,0.7541692571215144,1,0.30000000000000004
10.0,9.0,2.99575113999517,1.1,4.09575113999517,3.41e+16,0.1340546854988974,1.8430492194143924,0.8164588158583943,1,0.30000000000000004
10.0,1.0,22.545552987320818,1.1,23.64555298732082,3.41e+16,0.01951030422007136,1.8409928377203932,0.1574226612909236,1,0.4
10.0,1.8888888888888888,11.572567435481867,1.1,12.672567435481866,3.41e+16,0.03703583295363586,1.8412447974025812,0.28140373523650664,1,0.4
10.0,2.7777777777777777,7.636956871143857,1.1,8.736956871143857,3.41e+16,0.05477836993040483,1.8415918577362582,0.3943333448447054,1,0.4
10.0,3.6666666666666665,5.753765816304988,1.1,6.853765816304987,3.41e+16,0.07233677392088045,1.841938776725965,0.5013235688806935,1,0.4
10.0,4.555555555555555,4.572676428137775,1.1,5.672676428137775,3.41e+16,0.09005588457248813,1.8422855709373256,0.5997398656847697,1,0.4
10.0,5.444444444444445,3.778426083383565,1.1,4.878426083383565,3.41e+16,0.10778081606449076,1.8426322150900656,0.6916799735849938,1,0.4
