dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_max_preshift,nu_max_postshift,growth_rate_preshift,growth_rate_postshift,K
1,0,0,1.5194574482964636e+16,14.183333333333334,25.884907773148907,11.701574439815573,1,0.5,0.3548056700279498,0.19176860954421507,1e-05
1,0,0,1.5230647351632042e+16,14.166666666666666,24.705313909636008,10.538647242969342,1,0.5555555555555556,0.35515758055547203,0.21193657482252115,1e-05
1,0,0,1.5266270965789984e+16,14.15,23.70832780112612,9.55832780112612,1,0.6111111111111112,0.35551226225646687,0.23164524466173675,1e-05
1,0,0,1.530717339551854e+16,14.15,22.82686152452241,8.67686152452241,1,0.6666666666666666,0.35586470145231514,0.2503011367792524,1e-05
1,0,0,1.530717339551854e+16,14.15,27.676861524522412,13.526861524522412,1,0.6666666666666666,0.35586470145231514,0.2503011367792524,1e-05
1,0,0,1.5348894635690308e+16,14.15,22.17582264861759,8.02582264861759,1,0.7222222222222222,0.35621743158572405,0.2700053128417009,1e-05
1,0,0,1.537167324931172e+16,14.1,21.551933678437,7.451933678436999,1,0.7777777777777778,0.3565704717965422,0.2887241504276766,1e-05
1,0,0,1.540632247167567e+16,14.083333333333334,21.02043617625106,6.937102842917726,1,0.8333333333333333,0.3569238343104169,0.3071712863350793,1e-05
1,0,0,1.5440723763582254e+16,14.066666666666666,20.531121411855864,6.464454745189197,1,0.8888888888888888,0.35727516638661544,0.3253617674298711,1e-05
1,0,0,1.5499413913158054e+16,14.1,20.058670418730003,5.958670418730003,1,0.9444444444444444,0.3576245346013897,0.3412359003250211,1e-05
1,0,0,1.5499413913158054e+16,14.1,20.89200375206333,6.792003752063332,1,0.9444444444444444,0.3576245346013897,0.3412359003250211,1e-05
1,0,0,1.5517380825715704e+16,14.049999999999999,19.705070858308932,5.6550708583089335,1,1.0,0.35798606127098004,0.3591467669093705,1e-05
1,0,0,1.5517380825715704e+16,14.049999999999999,20.438404191642267,6.388404191642268,1,1.0,0.35798606127098004,0.3591467669093705,1e-05
1,0,0,1.503119534387556e+16,7.933333333333334,20.33677669745571,12.403443364122378,2,0.5,0.6336421319044073,0.19245442450106912,1e-05
1,0,0,1.5089621401619848e+16,7.933333333333334,17.168347347279656,9.235014013946323,2,0.6666666666666666,0.6345136840427534,0.25129704301434086,1e-05
1,0,0,1.5143462636253652e+16,7.916666666666667,15.217678407659774,7.301011740993107,2,0.8333333333333333,0.6353799260708657,0.30731429400390353,1e-05
1,0,0,1.5203802260554952e+16,7.916666666666667,13.918529929016442,6.001863262349775,2,1.0,0.6362412476224235,0.36075846532628203,1e-05
1,0,0,1.5203802260554952e+16,7.916666666666667,24.65186326234977,16.735196595683103,2,1.0,0.6362412476224235,0.36075846532628203,1e-05
1,0,0,1.5203802260554952e+16,7.916666666666667,37.93519659568311,30.01852992901644,2,1.0,0.6362412476224235,0.36075846532628203,1e-05
1,0,1,8.85014091396444e+20,44.3,-inf,-inf,2,1.0,0.6362412476224235,0.36075846532628203,1e-05
