time_start,time_stop,M_start,M_stop,growth_rate_hr,species_label,steady_state_idx,nu_max_preshift,nu_max_postshift,useful_fraction_pre,useful_fraction_post
46.31666666666666,94.93333333333334,1.4009746577846356e+18,2.935537539996433e+21,0.1571622992218915,1,1,4,0.4,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6376553482073058e+16,1.0719818106589798,1,0,4,0.4,1,1
28.4,50.35,4.3285048246888177e+18,2.9235378615001264e+21,0.2965200800514428,1,1,4,0.8,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6389761870079322e+16,1.0719883265792498,1,0,4,0.8,1,1
20.483333333333334,35.38333333333333,5.301098830116006e+18,2.9096874906483095e+21,0.4230538154336011,1,1,4,1.2000000000000002,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6389952126304992e+16,1.071997994749173,1,0,4,1.2000000000000002,1,1
16.3,27.866666666666667,5.637376046030961e+18,2.9034356145752763e+21,0.5392476510699115,1,1,4,1.6,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6390142284898098e+16,1.072007656979656,1,0,4,1.6,1,1
13.7,23.35,5.651920886355671e+18,2.906649901565886e+21,0.6466253554076686,1,1,4,2.0,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6390332581024612e+16,1.0720173268800124,1,0,4,2.0,1,1
11.95,20.316666666666666,5.585844558278935e+18,2.883492559603285e+21,0.7463079297085732,1,1,4,2.4,1,1
0.0,1.1833333333333333,4600000000000000.0,1.639052281514883e+16,1.0720269946489946,1,0,4,2.4,1,1
10.7,18.15,5.527095810232686e+18,2.8916412796234986e+21,0.8392165370868647,1,1,4,2.8000000000000003,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6390713032836986e+16,1.0720366606499891,1,0,4,2.8000000000000003,1,1
9.783333333333333,16.53333333333333,5.567765133327489e+18,2.894820505179144e+21,0.9260691093706477,1,1,4,3.2,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6390903267504654e+16,1.0720463289837845,1,0,4,3.2,1,1
9.066666666666666,15.266666666666666,5.576365089132338e+18,2.888670522707417e+21,1.0074949368307173,1,1,4,3.6,1,1
0.0,1.1833333333333333,4600000000000000.0,1.6391093490507594e+16,1.0720559961517329,1,0,4,3.6,1,1
8.45,14.25,5.344813939315003e+18,2.890982262347698e+21,1.0839880881621151,1,1,4,4.0,1,1
0.0,1.1833333333333333,4600000000000000.0,1.639128364715392e+16,1.0720656616783495,1,0,4,4.0,1,1
30.5,65.26666666666667,1.0436910671161536e+18,2.93633983529433e+21,0.228265318907075,1,1,6,0.6000000000000001,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6905149590568032e+16,1.393178111807234,1,0,6,0.6000000000000001,1,1
19.466666666666665,35.13333333333333,3.834741492542722e+18,2.9139407978727793e+21,0.4229851093592134,1,1,6,1.2000000000000002,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6905328168772966e+16,1.3931892912588708,1,0,6,1.2000000000000002,1,1
14.216666666666667,25.03333333333333,4.700876796737282e+18,2.9079616140628585e+21,0.5939176254743225,1,1,6,1.8000000000000003,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6905506707244322e+16,1.3932004681011951,1,0,6,1.8000000000000003,1,1
11.35,19.95,4.703496817934217e+18,2.898806271299021e+21,0.7462723568422568,1,1,6,2.4000000000000004,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6905685251352764e+16,1.3932116453480727,1,0,6,2.4000000000000004,1,1
9.633333333333333,16.9,4.69979998091969e+18,2.8904710608200584e+21,0.8833257009601986,1,1,6,3.0000000000000004,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6905863757306636e+16,1.3932228200856984,1,0,6,3.0000000000000004,1,1
8.466666666666667,14.85,4.614312895575351e+18,2.883173236251013e+21,1.0074391884624747,1,1,6,3.6000000000000005,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6906042349351378e+16,1.3932340000926087,1,0,6,3.6000000000000005,1,1
7.633333333333333,13.383333333333333,4.493755993371151e+18,2.8427985641918714e+21,1.1204934344231683,1,1,6,4.200000000000001,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6906220829294156e+16,1.3932451730604882,1,0,6,4.200000000000001,1,1
7.016666666666667,12.3,4.4521423158712673e+18,2.882524751817415e+21,1.2239810576981311,1,1,6,4.800000000000001,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6906399424908472e+16,1.3932563531207105,1,0,6,4.800000000000001,1,1
6.533333333333333,11.45,4.3597306543470213e+18,2.8793549442144587e+21,1.3190959661684156,1,1,6,5.4,1,1
0.0,0.9333333333333333,4600000000000000.0,1.6906577938504728e+16,1.3932675280396514,1,0,6,5.4,1,1
6.116666666666666,10.766666666666666,4.1063185914649846e+18,2.87002162268226e+21,1.4068377642154333,1,1,6,6.0,1,1
0.0,0.9333333333333333,4600000000000000.0,1.690675644319684e+16,1.3932787023800945,1,0,6,6.0,1,1
22.733333333333334,50.266666666666666,8.459078440204849e+17,2.926157702901002e+21,0.2957824167047379,1,1,8,0.8,1,1
0.0,0.8,4600000000000000.0,1.7130455392086396e+16,1.6419117720993566,1,0,8,0.8,1,1
14.966666666666667,27.45,3.46375571221387e+18,2.922342124890149e+21,0.539129611121006,1,1,8,1.6,1,1
0.0,0.8166666666666667,4600000000000000.0,1.7604785327601528e+16,1.6418430481819628,1,0,8,1.6,1,1
10.966666666666667,19.78333333333333,3.9961062514169846e+18,2.894340545552852e+21,0.7462289961221574,1,1,8,2.4000000000000004,1,1
