nu_max_preshift,nu_max_postshift,lag_time_hr,t_shift,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
4,0.4,22.674698512611773,1.9,0.0386238494736378,1.0719818106589798,0.1571622992218915,1,1
4,0.8,12.064917161231083,1.9,0.07785557898765887,1.0719883265792498,0.2965200800514428,1,1
4,1.2000000000000002,8.554893413635687,1.9,0.11766535108392155,1.071997994749173,0.4230538154336011,1,1
4,1.6,6.827772162298684,1.9,0.1581225465571439,1.072007656979656,0.5392476510699115,1,1
4,2.0,5.7967321815968695,1.9,0.1991474704482743,1.0720173268800124,0.6466253554076686,1,1
4,2.4,5.118110197084817,1.9,0.23968341826070247,1.0720269946489946,0.7463079297085732,1,1
4,2.8000000000000003,4.637058938329304,1.9,0.28053315552294633,1.0720366606499891,0.8392165370868647,1,1
4,3.2,4.281096422760309,1.9,0.3219084833055023,1.0720463289837845,0.9260691093706477,1,1
4,3.6,4.007589092404503,1.9,0.3636519385254256,1.0720559961517329,1.0074949368307173,1,1
4,4.0,3.78704781119625,1.9,0.4060515787693826,1.0720656616783495,1.0839880881621151,1,1
6,0.6000000000000001,15.512083990599258,1.4666666666666666,0.042710926934446364,1.393178111807234,0.228265318907075,1,1
6,1.2000000000000002,8.301829382030869,1.4666666666666666,0.08588885201404849,1.3931892912588708,0.4229851093592134,1,1
6,1.8000000000000003,5.922238740617178,1.4666666666666666,0.12999026265740915,1.3932004681011951,0.5939176254743225,1,1
6,2.4000000000000004,4.748168798000611,1.4666666666666666,0.17462447860454813,1.3932116453480727,0.7462723568422568,1,1
6,3.0000000000000004,4.056706456183382,1.4666666666666666,0.22018004844608546,1.3932228200856984,0.8833257009601986,1,1
6,3.6000000000000005,3.595284926970347,1.4666666666666666,0.26701708124374995,1.3932340000926087,1.0074391884624747,1,1
6,4.200000000000001,3.2770857901208608,1.4666666666666666,0.3137976694122153,1.3932451730604882,1.1204934344231683,1,1
6,4.800000000000001,3.036340938844681,1.4666666666666666,0.3615497616803956,1.3932563531207105,1.2239810576981311,1,1
6,5.4,2.8559146329261247,1.4666666666666666,0.4097847096024701,1.3932675280396514,1.3190959661684156,1,1
6,6.0,2.711167522536337,1.4666666666666666,0.4582932393494137,1.3932787023800945,1.4068377642154333,1,1
8,0.8,11.876998214633938,1.25,0.04614005502710775,1.6419117720993566,0.2957824167047379,1,1
8,1.6,6.395793789883175,1.25,0.09338184380877128,1.6418430481819628,0.539129611121006,1,1
8,2.4000000000000004,4.5828644165201995,1.25,0.1412123666675841,1.641855015057567,0.7462289961221574,1,1
8,3.2,3.7006246727153123,1.2333333333333334,0.18887356526221452,1.6418669651510103,0.9259913049303741,1,1
8,4.0,3.1725437676425923,1.2333333333333334,0.23728656175744167,1.6418789227107462,1.0839114108095176,1,1
8,4.8,2.8303039711919378,1.2333333333333334,0.28612493550187257,1.6418908890093773,1.223947445556432,1,1
8,5.6000000000000005,2.591724272755579,1.2333333333333334,0.33570682081703423,1.64190284866615,1.3490856031935663,1,1
8,6.4,2.4124359952615504,1.2333333333333334,0.3861515874187531,1.6419148027630686,1.461672026560102,1,1
8,7.2,2.2791133508398542,1.2333333333333334,0.4371910598932186,1.6419267692625465,1.5635567226423843,1,1
8,8.0,2.1715580771097263,1.2333333333333334,0.4883417747616827,1.6419387368449865,1.6562374768889323,1,1
10,1.0,9.664859331945442,1.1166666666666667,0.049238581114818866,1.840615741530695,0.36012315068090045,1,1
10,2.0,5.240793359337172,1.1166666666666667,0.09911622985065474,1.8406278744407445,0.6464715925458521,1,1
10,3.0,3.7746722634323664,1.1,0.1495677309752324,1.8406400143237966,0.8832374663101562,1,1
10,4.0,3.0634200015497797,1.1,0.20107083264063227,1.8406521474189768,1.0838828903845028,1,1
10,5.0,2.645576262657917,1.1,0.2532679895600249,1.8406642816608227,1.2564971981669093,1,1
10,6.0,2.371277141382045,1.1,0.30634861670173374,1.8406764229176196,1.4068183938765886,1,1
10,7.0,2.1765628619965853,1.1,0.3602448392355556,1.84068855435309,1.53897805126021,1,1
10,8.0,2.0383040127794896,1.1,0.4150160548609285,1.8407006913658064,1.6562074407494891,1,1
10,9.0,1.9300774090776285,1.1,0.4704828989215844,1.8407128343487693,1.7609479732735018,1,1
10,10.0,1.8446330297271443,1.1,0.5269688966631773,1.840630121842872,1.8551305072819146,1,1
12,1.2000000000000002,8.175963577310567,1.0166666666666666,0.05180112446914364,2.003250677282167,0.42160610045767455,1,1
12,2.4000000000000004,4.464099435375231,1.0166666666666666,0.10497714550771406,2.0032630472814654,0.746133245614931,1,1
12,3.6000000000000005,3.2346689385349157,1.0166666666666666,0.15955952537290483,2.0032754052209003,1.0073313053705084,1,1
12,4.800000000000001,2.6425866664555935,1.0166666666666666,0.2155335913219587,2.0032877551226136,1.2238769325766676,1,1
12,6.000000000000001,2.2900731523049638,1.0166666666666666,0.27293481344567005,2.003300116962088,1.406768738494011,1,1
12,7.200000000000001,2.0623924431485516,1.0166666666666666,0.3316970775975897,2.0033124720770337,1.5635145163804023,1,1
12,8.400000000000002,1.9015780410848215,1.0166666666666666,0.3920820921648561,2.0033248376752715,1.6994495992480034,1,1
12,9.600000000000001,1.7859087954959803,1.0166666666666666,0.4539484550070767,2.0033371782861535,1.8185865551134321,1,1
12,10.8,1.6970175412914,1.0166666666666666,0.5127303499075148,2.00334954913361,1.9239233130792341,1,1
12,12.0,1.6258656197360355,1.0166666666666666,0.5694554211047212,2.0033618808494835,2.017739667218203,1,1
