preshift_growth_rate,postshift_growth_rate,entry_time,exit_time,lag_time,date,tech_rep,strain,preshift_carbon,preshift_conc_M,postshift_conc_M
0.8413285430382079,0.3706451520489651,4.4211833333333335,6.40080148685464,1.9796181535213064,2024-04-20,1,WT,glucose,0.005,0.03
1.3943203080716018,0.4712109524296181,4.588147222222223,6.53327392321708,1.945126700994857,2024-04-20,2,WT,glucose,0.005,0.03
0.733278024609069,0.2831581357022453,4.254447222222223,6.100260982562436,1.8458137603402136,2024-04-20,3,WT,glucose,0.005,0.03
0.8490860718844582,0.3403857821376145,4.254475,6.34313072935976,2.0886557293597594,2024-04-20,4,WT,glucose,0.005,0.03
1.0553876646828773,0.4769686102317836,3.8539027777777775,5.912920357044018,2.0590175792662406,2024-04-22,2,WT,glucose,0.005,0.03
1.0746626736829852,0.4641934112439351,3.687008333333333,5.76188652702556,2.0748781936922267,2024-04-22,3,WT,glucose,0.005,0.03
0.8245690623011052,0.441134723772243,3.5202555555555555,5.786179407216914,2.2659238516613587,2024-04-22,7,WT,glucose,0.005,0.03
0.815434969037597,0.4155825628695868,3.787225,5.786060604627098,1.9988356046270976,2024-04-17,1,WT,glucose,0.005,0.03
0.9149057971748455,0.4226603048049016,4.1042000000000005,6.228307830138819,2.1241078301388185,2024-04-17,2,WT,glucose,0.005,0.03
1.0759369078390228,0.482755930251966,5.271961111111112,7.241420544009363,1.9694594328982504,2024-04-18,2,WT,glucose,0.005,0.03
