time_hr,od650nm,culture_temp_C,stir_rate,date,strain,tech_rep,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M,log_od650nm_filtered,pearson_correlation,phase,time_hr_centered,od650nm_centered,log_od650nm_filtered_centered
2.7195805555555554,0.1515204694112267,36.950000000000045,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.9120261697499863,0.9987454878772,preshift_exponential,-1.5348666666666673,0.3688298787365253,2.1780647719422888
2.7362666666666664,0.1561223424505375,37.01000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.900145439451281,0.9988261409047582,preshift_exponential,-1.5181805555555563,0.3800317201883451,2.1645309612978765
2.7529555555555554,0.148242546100844,36.870000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.88700806178554,0.9989255527876768,preshift_exponential,-1.5014916666666671,0.3608507848109721,2.149565653844373
2.769638888888889,0.1519508367445444,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.875384901793908,0.9990917084146153,preshift_exponential,-1.4848083333333335,0.3698774753548338,2.136325251742694
2.7863166666666666,0.15156680270432,36.81,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.866798435725181,0.999276246395055,preshift_exponential,-1.4681305555555562,0.3689426628569776,2.1265440680143266
2.802994444444445,0.1531116661055993,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.8566894076561693,0.9993888807818978,preshift_exponential,-1.451452777777778,0.3727031566250632,2.115028473581553
2.819672222222222,0.1557211953961306,36.950000000000045,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.846642732272558,0.9994667744380512,preshift_exponential,-1.4347750000000006,0.3790552513323066,2.1035839075633773
2.836358333333333,0.143780923068627,37.25000000000006,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.8359563093190128,0.999511121399178,preshift_exponential,-1.4180888888888896,0.3499903387713378,2.0914105797389806
2.853036111111112,0.1579433078259873,36.950000000000045,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.826007191384312,0.9995170195194552,preshift_exponential,-1.401411111111111,0.3844642991080142,2.0800771452764675
2.8697138888888887,0.1459519581517976,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.8146990367467115,0.9995047153031202,preshift_exponential,-1.384733333333334,0.355275054490409,2.067195578255314
2.8863972222222225,0.1653367718281303,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.8045792351645609,0.9994760604340008,preshift_exponential,-1.3680500000000002,0.4024614082903543,2.055667711286836
2.903083333333333,0.170726093639129,36.81,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7931147486472956,0.9994649791318758,preshift_exponential,-1.3513638888888897,0.4155800510568839,2.042608060427073
2.9197694444444444,0.1746099808216135,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.782401970980276,0.9994499799450872,preshift_exponential,-1.3346777777777783,0.425034177249262,2.0304047109042807
2.936455555555556,0.1698638118695537,36.85000000000002,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7680496834725163,0.9994532443418708,preshift_exponential,-1.317991666666667,0.4134810918750322,2.01405545151024
2.953136111111111,0.17682946339492,36.77000000000004,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.757221821269669,0.9994052292261606,preshift_exponential,-1.3013111111111115,0.4304368234498143,2.0017210046325844
2.969813888888889,0.1794723526506816,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7460085441711373,0.9993480661661176,preshift_exponential,-1.2846333333333335,0.4368701227096725,1.9889475163756043
2.9865,0.1619094731147908,36.85000000000002,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7352064707398256,0.9992920700272864,preshift_exponential,-1.2679472222222228,0.3941187059891614,1.9766424465094583
3.003183333333333,0.1854569235487314,37.110000000000014,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7229246812535346,0.999237547340008,preshift_exponential,-1.2512638888888898,0.4514377159015023,1.962651773452928
3.0198722222222223,0.1804687350069853,36.93000000000001,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.7100395429393636,0.9991640756432868,preshift_exponential,-1.2345750000000004,0.4392955084353022,1.947973801839512
3.036561111111112,0.1821178314589379,37.01000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.6972019313537436,0.999064525607823,preshift_exponential,-1.217886111111111,0.4433097254368861,1.9333499698057832
3.0532472222222222,0.1809580256108051,36.81,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.684772356410953,0.9989381378807634,preshift_exponential,-1.2012000000000005,0.4404865355933821,1.9191909484799143
3.069936111111111,0.1866672430506006,37.190000000000055,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.6714248070391418,0.998777686796648,preshift_exponential,-1.1845111111111115,0.4543838656649071,1.9039862261081997
3.086622222222222,0.1959930671453701,37.03000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.6550796464230997,0.9986381639166352,preshift_exponential,-1.1678250000000006,0.4770847098700344,1.88536680599106
